"corpus","user/lx262/gnu_en_de_terms_v04__english"
"subcorpus",""
"Item","Score","Freq","Ref_freq","Rel_freq","Rel_ref_freq"
"GNU",3241.550,176,28960,7370.802,1.274
"nonfree",1873.550,45,146,1884.580,0.006
"Unix",696.220,52,48398,2177.737,2.129
"gnu",555.830,17,6425,711.952,0.283
"FSF",541.780,16,5424,670.073,0.239
"copyleft",541.700,14,1914,586.314,0.084
"SaaSS",503.470,12,4,502.555,0.000
"GPL",346.960,16,21232,670.073,0.934
"proprietary",309.180,68,186697,2847.810,8.214
"Hurd",280.130,10,11332,418.796,0.499
"Emacs",278.900,10,11482,418.796,0.505
"redistribute",277.160,17,35738,711.952,1.572
"nondisclosure",255.210,7,3469,293.157,0.153
"Qt",251.460,9,11430,376.916,0.503
"copylefted",251.400,6,79,251.277,0.003
"Alix",235.680,7,5639,293.157,0.248
"programmer",204.400,46,191602,1926.460,8.430
"modified",190.320,28,117427,1172.628,5.166
"Motif",183.500,5,3331,209.398,0.147
"Stallman",174.060,5,4745,209.398,0.209
"Nonfree",168.490,4,4,167.518,0.000
"Readline",166.950,4,213,167.518,0.009
"handhold",164.580,5,6327,209.398,0.278
"Copyleft",164.240,4,592,167.518,0.026
"compiler",155.020,16,75661,670.073,3.329
"freedom",123.270,167,1266954,6993.886,55.743
"Confusing",120.350,3,1187,125.639,0.052
"kernel",119.570,19,128718,795.712,5.663
"nontrivial",116.510,3,1976,125.639,0.087
"Lisp",108.880,4,12448,167.518,0.548
"mistreat",106.300,6,31214,251.277,1.373
"Pastel",104.870,3,4718,125.639,0.208
"KDE",101.950,5,24178,209.398,1.064
"ftp",96.800,4,16839,167.518,0.741
"MIT",96.610,12,95740,502.555,4.212
"software",96.290,332,3259616,13904.012,143.414
"gratis",95.550,6,37282,251.277,1.640
"redistribution",91.210,5,29701,209.398,1.307
"manual",86.800,58,613578,2429.014,26.996
"noncopylefted",84.760,2,0,83.759,0.000
"LibreBoot",84.760,2,0,83.759,0.000
"LessTif",84.620,2,37,83.759,0.002
"tivoization",84.590,2,45,83.759,0.002
