"corpus","user/lx262/gnu_en_de_terms_v04__german"
"subcorpus",""
"Item","Score","Freq","Ref_freq","Rel_freq","Rel_ref_freq"
"GNU",2805.690,124,18283,5394.353,0.923
"unfrei",1200.620,55,19683,2392.657,0.994
"proprietär",1199.470,67,28342,2914.691,1.431
"Copyleft",932.420,23,1469,1000.566,0.074
"Unix",650.420,31,21293,1348.588,1.075
"FSF",568.260,16,4489,696.046,0.227
"SaaSS",479.530,11,0,478.531,0.000
"Quellcode",449.760,37,51126,1609.605,2.581
"Systemkern",424.850,10,521,435.028,0.026
"GPL",382.230,16,16315,696.046,0.824
"Programmierer",356.750,47,93773,2044.634,4.734
"Rechnernutzer",348.440,8,33,348.023,0.002
"Vertriebspreis",347.150,8,107,348.023,0.005
"Vertriebsbedingung",347.040,8,113,348.023,0.006
"Emacs",341.580,9,2954,391.526,0.149
"Compiler",332.650,16,21699,696.046,1.095
"Softwarelizenz",322.430,9,4306,391.526,0.217
"distribuier",317.660,8,1956,348.023,0.099
"Qt",307.020,9,5517,391.526,0.279
"modifiziert",253.390,26,68688,1131.074,3.468
"X11",251.180,7,4285,304.520,0.216
"Vertraulichkeitsvereinbarung",250.960,6,873,261.017,0.044
"Stallman",230.280,6,2730,261.017,0.138
"Alix",224.370,6,3324,261.017,0.168
"Programmkopie",214.140,5,405,217.514,0.020
"Datenverarbeitung",212.740,16,45094,696.046,2.277
"Handbuch",200.010,49,191404,2131.640,9.663
"Binärdatei",195.640,5,2316,217.514,0.117
"Klarstellung",193.100,13,38307,565.537,1.934
"Modifizierung",185.780,7,12766,304.520,0.644
"Readline",174.720,4,33,174.011,0.002
"HURD",174.470,4,62,174.011,0.003
"Dienstprogramm",173.290,5,5170,217.514,0.261
"Betriebssystemkern",170.480,4,527,174.011,0.027
"unixoid",170.430,4,532,174.011,0.027
"Ausfuhrbestimmung",169.580,4,634,174.011,0.032
"Motif",164.770,4,1231,174.011,0.062
"Lisp",163.240,4,1428,174.011,0.072
"Lizenz",152.490,50,262869,2175.142,13.271
"modifizieren",151.150,18,82939,783.051,4.187
"Software",140.780,245,1480006,10658.198,74.717
"Softwaresteuer",131.500,3,1,130.509,0.000
"redistribuier",131.430,3,12,130.509,0.001
"BASH",127.800,3,575,130.509,0.029
"Freiheit",126.140,167,1121163,7264.976,56.601
"Softwarepaket",125.010,5,14817,217.514,0.748
"Pastel",124.700,3,1081,130.509,0.055
"Restriktion",123.930,7,29026,304.520,1.465
"Serverbetreiber",123.780,3,1237,130.509,0.062
"portieren",119.620,5,16375,217.514,0.827
"debuggen",119.400,3,2008,130.509,0.101
"ITS",118.300,4,9495,174.011,0.479
"Systemsoftware",115.510,3,2743,130.509,0.138
"nichttechnisch",115.110,3,2821,130.509,0.142
"License",113.020,4,10866,174.011,0.549
"Ai",112.440,8,41676,348.023,2.104
"Faustkampf",112.110,3,3427,130.509,0.173
"Gnu",111.620,3,3529,130.509,0.178
"ausführbar",110.450,5,19379,217.514,0.978
"Kopie",109.910,41,301832,1783.617,15.238
"GCC",104.590,3,5097,130.509,0.257
"vermeidend",103.820,3,5284,130.509,0.267
"Magnetband",102.850,3,5519,130.509,0.279
"Programmänderung",98.460,3,6650,130.509,0.336
"MIT",96.440,11,78687,478.531,3.972
"Quelltext",93.510,6,35696,261.017,1.802
"Softwareunternehmen",93.440,3,8069,130.509,0.407
"Free",93.290,15,118961,652.543,6.006
"rekursiv",90.740,3,8901,130.509,0.449
"Foundation",89.780,14,114788,609.040,5.795
"Akronym",88.150,3,9743,130.509,0.492
"LibreBoot",88.010,2,0,87.006,0.000
"Rechnerfirma",87.990,2,3,87.006,0.000
"Befehlszeileninterpreter",87.940,2,14,87.006,0.001
"LessTif",87.940,2,15,87.006,0.001
"Tivoisierung",87.920,2,19,87.006,0.001
"Rechnerbenutzer",87.920,2,19,87.006,0.001
"Systemprogrammiersprache",87.900,2,24,87.006,0.001
"GNUs",87.830,2,39,87.006,0.002
"Ausfuhrkontrollbestimmung",87.820,2,41,87.006,0.002
"vertragsbasiert",87.740,2,60,87.006,0.003
"Systemkerns",87.680,2,73,87.006,0.004
"Zurückweise",87.650,2,81,87.006,0.004
"Rechnerhersteller",87.550,2,102,87.006,0.005
"Nachkonstruktion",87.500,2,115,87.006,0.006
"Benutzerhilfe",87.450,2,125,87.006,0.006
"Lizenzänderung",87.320,2,156,87.006,0.008
"Softwarenutzer",87.270,2,168,87.006,0.008
"Vertriebsdienstleistung",86.980,2,233,87.006,0.012
"Libr",86.980,2,233,87.006,0.012
"Syntaxbaum",86.910,2,250,87.006,0.013
"weitervertreiben",86.840,2,267,87.006,0.013
"Softwaregeschäft",86.620,2,316,87.006,0.016
"distribuiert",86.170,2,423,87.006,0.021
"RMS",86.060,3,10461,130.509,0.528
"Textsatzsystem",86.050,2,451,87.006,0.023
"Programmentwickler",85.780,2,513,87.006,0.026
"GDB",84.260,2,881,87.006,0.044
"Eingabedatei",83.900,2,969,87.006,0.049
"LGPL",81.920,2,1471,87.006,0.074
"Modifizieren",81.670,2,1537,87.006,0.078
"Bushnell",80.480,2,1852,87.006,0.093
"Hurd",79.790,2,2040,87.006,0.103
"Fenstersystem",78.760,2,2325,87.006,0.117
"zusammenarbeitend",76.000,2,3130,87.006,0.158
"TeX",74.980,2,3440,87.006,0.174
"Harmony",74.430,3,15191,130.509,0.767
"herumbasteln",74.230,2,3675,87.006,0.186
"Window",73.820,3,15480,130.509,0.781
"Modifikation",73.280,7,62774,304.520,3.169
"Softwarepatent",73.240,2,3994,87.006,0.202
"Softwareentwicklung",71.660,5,40591,217.514,2.049
"kompilieren",70.010,3,17401,130.509,0.878
"Aufgabenliste",69.560,2,5254,87.006,0.265
"Berechtigung",68.380,12,131700,522.034,6.649
"Redefreiheit",67.320,2,6087,87.006,0.307
"laben",66.700,6,58009,261.017,2.929
"trivial",66.060,5,45715,217.514,2.308
"Betriebssystem",65.730,30,373797,1305.085,18.871
"Assembler",65.490,2,6812,87.006,0.344
"unethisch",64.400,2,7260,87.006,0.367
"Programmversion",63.980,2,7439,87.006,0.376
"plattformübergreifend",60.850,2,8839,87.006,0.446
"akzeptabel",60.710,12,150834,522.034,7.615
"Gnom",59.430,4,38527,174.011,1.945
"freigeben",58.240,16,217271,696.046,10.969
"inakzeptabel",58.190,4,39770,174.011,2.008
"Source",57.710,9,114911,391.526,5.801
"außerstande",57.710,2,10398,87.006,0.525
"lizenziert",57.590,3,25424,130.509,1.284
"Reverse",57.580,2,10465,87.006,0.528
"urheberrecht",56.790,2,10886,87.006,0.550
"unerschwinglich",56.000,2,11323,87.006,0.572
"voreingenommen",55.700,2,11489,87.006,0.580
"Linux",54.900,19,278755,826.554,14.073
"Laboratory",54.850,2,11975,87.006,0.605
"gewissenhaft",54.790,6,74924,261.017,3.782
"Distributor",54.700,3,27814,130.509,1.404
"Grimasse",54.330,2,12278,87.006,0.620
"habend",53.910,2,12527,87.006,0.632
"nutzbringend",53.730,2,12636,87.006,0.638
"Library",53.300,4,45237,174.011,2.284
"Programmiersprache",53.220,5,61526,217.514,3.106
"Hacker",53.130,7,94100,304.520,4.751
"Benutzergruppe",52.830,2,13190,87.006,0.666
"Nutzer",51.770,72,1178983,3132.205,59.520
"nummeriert",51.180,2,14250,87.006,0.719
"Entschlossenheit",51.100,4,48032,174.011,2.425
"ungerecht",50.770,8,116361,348.023,5.874
"Freibier",50.570,2,14664,87.006,0.740
"verschleiert",50.390,2,14789,87.006,0.747
"Patent",50.380,11,168725,478.531,8.518
"Portierung",48.860,2,15872,87.006,0.801
"Lizenzierung",48.590,2,16068,87.006,0.811
"Kopieren",48.090,4,52278,174.011,2.639
"Softwareprodukt",47.840,2,16629,87.006,0.840
"Schülerschaft",47.720,2,16723,87.006,0.844
"Kochrezept",47.670,2,16762,87.006,0.846
"Schadsoftware",47.140,2,17174,87.006,0.867
"Benutzer",46.660,30,534619,1305.085,26.990
"frei",46.310,255,4725604,11093.227,238.568
"Softwareentwickler",45.980,2,18105,87.006,0.914
"Softwarehersteller",45.750,2,18294,87.006,0.924
"NSA",44.720,2,19175,87.006,0.968
"rechnernutzend",44.500,1,0,43.503,0.000
"Systemkernprogramm",44.500,1,0,43.503,0.000
"Spionagagentur",44.500,1,0,43.503,0.000
"Rechnerwissen",44.500,1,0,43.503,0.000
"GNUisance",44.500,1,0,43.503,0.000
"Datenverarbeitungbedürfnisse",44.500,1,0,43.503,0.000
"Asteroidenprospektierung",44.500,1,0,43.503,0.000
"ˈgnuː",44.500,1,1,43.503,0.000
"Nroff",44.500,1,1,43.503,0.000
"Jedermanm",44.500,1,1,43.503,0.000
"Chaosnet",44.500,1,1,43.503,0.000
"Befehlszeilenbearbeitung",44.500,1,1,43.503,0.000
"Anzeigeunterstützung",44.500,1,1,43.503,0.000
"Rechnerkäufer",44.500,1,2,43.503,0.000
"Quelltextdebugger",44.500,1,2,43.503,0.000
"Dateitypendung",44.500,1,2,43.503,0.000
"Systemhacker",44.500,1,3,43.503,0.000
"Roboterreparatur",44.500,1,3,43.503,0.000
"Mithacker",44.500,1,3,43.503,0.000
"Editorbefehlen",44.500,1,3,43.503,0.000
"Distributionsinformation",44.500,1,3,43.503,0.000
"terminalunabhängig",44.490,1,5,43.503,0.000
"Ersatzbibliothek",44.490,1,5,43.503,0.000
"Vertriebsschema",44.490,1,6,43.503,0.000
"VUCK",44.490,1,6,43.503,0.000
"Verlagspraktik",44.470,1,16,43.503,0.001
"iDinger",44.460,1,17,43.503,0.001
"Mauerbauen",44.460,1,18,43.503,0.001
"Softwarekategorien",44.450,1,22,43.503,0.001
"Geldmittel",44.450,2,19410,87.006,0.980
"Softwarelizenzvereinbarung",44.450,1,25,43.503,0.001
"Softwareaufgabe",44.440,1,26,43.503,0.001
"Betriebssystementwickler",44.430,1,34,43.503,0.002
"quellcodes",44.420,1,35,43.503,0.002
"fähigkeitsbasiert",44.410,1,41,43.503,0.002
"vrij",44.410,1,42,43.503,0.002
"Incompatible",44.410,1,42,43.503,0.002
"weiterzuvertreiben",44.390,1,49,43.503,0.002
"Proprietät",44.390,1,52,43.503,0.003
"Programmierfirma",44.380,1,57,43.503,0.003
"Quelltextebene",44.350,1,68,43.503,0.003
"LIESMICH",44.350,1,70,43.503,0.004
"Exportgesetz",44.340,1,72,43.503,0.004
"Nutzerkontrolle",44.340,1,73,43.503,0.004
"Luftanlage",44.340,1,73,43.503,0.004
"Benutzerfrage",44.340,1,73,43.503,0.004
"Parsergenerator",44.320,1,81,43.503,0.004
"Mehrwertpaket",44.320,1,81,43.503,0.004
"Datenverarbeitungsaufgabe",44.310,1,84,43.503,0.004
"Datenverarbeitungsdienst",44.310,1,85,43.503,0.004
"Programmrecht",44.290,1,96,43.503,0.005
"Symbolics",44.280,1,101,43.503,0.005
"Softwarekategorie",44.270,1,104,43.503,0.005
"Dokumentationsprojekte",44.270,1,105,43.503,0.005
"Programmnutzer",44.270,1,106,43.503,0.005
"Vermarktungspraktik",44.230,1,120,43.503,0.006
"Namensmuster",44.230,1,123,43.503,0.006
"Beschränkung",44.220,10,175510,435.028,8.860
"Lizenzanforderung",44.210,1,130,43.503,0.007
"unixartig",44.210,1,132,43.503,0.007
"Rechnerwelt",44.190,1,141,43.503,0.007
"Geheimhalt",44.180,1,145,43.503,0.007
"Ceteris",44.170,1,149,43.503,0.008
"Vertraulichkeits",44.160,1,155,43.503,0.008
"Multics",44.140,1,163,43.503,0.008
"Befehlsinterpreter",44.140,1,163,43.503,0.008
"Softwarekopie",44.130,1,168,43.503,0.008
"Programmlizenz",44.120,1,171,43.503,0.009
"Mikrokern",44.100,1,181,43.503,0.009
"Softwarepirat",44.070,1,195,43.503,0.010
"Kommandozeileninterpreter",44.070,1,196,43.503,0.010
"Proprietär",44.040,1,207,43.503,0.010
"Unterroutine",44.010,1,224,43.503,0.011
"Softwarehändler",44.000,1,226,43.503,0.011
"Betriebssystemsoftware",43.960,1,244,43.503,0.012
"BLOBs",43.960,1,245,43.503,0.012
"Übersetzungsteam",43.920,1,263,43.503,0.013
"Copyrightinhaber",43.890,1,276,43.503,0.014
"hinzuzufügend",43.880,1,283,43.503,0.014
"Hardwarespezifikation",43.880,1,283,43.503,0.014
"Schnittstellenspezifikation",43.830,1,305,43.503,0.015
"Programmform",43.820,1,307,43.503,0.015
"Internetprotokolle",43.820,1,310,43.503,0.016
"Interchang",43.770,1,331,43.503,0.017
"Komprimierungsprogramm",43.770,1,333,43.503,0.017
"Icaza",43.760,1,336,43.503,0.017
"prep",43.750,1,342,43.503,0.017
"Redistribution",43.750,1,343,43.503,0.017
"ausschreitend",43.740,1,346,43.503,0.017
"Archivierungsprogramm",43.740,1,346,43.503,0.017
"Softwaresammlung",43.740,1,347,43.503,0.018
"Softwarewelt",43.680,1,372,43.503,0.019
"entkräftend",43.680,1,374,43.503,0.019
"Größenbegrenzung",43.650,1,385,43.503,0.019
"Kleinrechner",43.630,1,394,43.503,0.020
"GZIP",43.630,1,396,43.503,0.020
"Serverprozess",43.630,1,397,43.503,0.020
"Originalprogramm",43.620,1,403,43.503,0.020
"Weitervertrieb",43.580,1,419,43.503,0.021
"Digitals",43.500,1,455,43.503,0.023
"Interessanterweis",43.480,1,465,43.503,0.023
"Objektcode",43.460,1,475,43.503,0.024
"absturzsicher",43.440,1,486,43.503,0.025
"Originalautor",43.400,1,504,43.503,0.025
"Rechner",43.400,31,596202,1348.588,30.099
"einseh",43.370,1,517,43.503,0.026
"modulen",43.270,1,564,43.503,0.028
"Handelssanktion",43.240,1,580,43.503,0.029
"Vertriebsgeschäft",43.230,1,583,43.503,0.029
"VAX",43.150,1,619,43.503,0.031
"Paribus",43.150,1,620,43.503,0.031
"Softwarepiraterie",43.060,1,663,43.503,0.033
"Laborpersonal",43.050,1,668,43.503,0.034
"Übersenden",43.030,1,677,43.503,0.034
"XFree86",43.030,1,679,43.503,0.034
"Yodas",42.950,1,715,43.503,0.036
"Programm",42.880,185,3698368,8048.027,186.709
"Timesharing",42.870,1,755,43.503,0.038
"Autorenliste",42.850,1,766,43.503,0.039
"besteuernd",42.820,1,779,43.503,0.039
"Speichernutzung",42.790,1,792,43.503,0.040
"Telefonverkäufer",42.560,1,903,43.503,0.046
"unausgesprochen",42.540,2,21169,87.006,1.069
"Hauptentwickler",42.520,1,926,43.503,0.047
"Rechnerraum",42.330,1,1019,43.503,0.051
"Benutzerprogramm",42.270,1,1044,43.503,0.053
"teilzeitlich",42.270,1,1048,43.503,0.053
"destruktiv",42.180,3,41950,130.509,2.118
"Lockdown",42.110,1,1128,43.503,0.057
"Systemaufruf",42.090,1,1137,43.503,0.057
"jedermann",42.010,13,247338,565.537,12.487
"Verschlüsselungssoftware",41.950,1,1204,43.503,0.061
"auseinanderbringen",41.890,1,1236,43.503,0.062
"UUCP",41.840,1,1262,43.503,0.064
"FDL",41.780,1,1291,43.503,0.065
"benutzerorientiert",41.750,1,1308,43.503,0.066
"Urheberrechtsinhaber",41.670,1,1347,43.503,0.068
"Zielplattform",41.650,1,1355,43.503,0.068
"Labs",41.650,2,22047,87.006,1.113
"freizügig",41.550,2,22144,87.006,1.118
"Patentsystem",41.540,1,1411,43.503,0.071
"Livermore",41.480,1,1445,43.503,0.073
"Hillel",41.450,1,1460,43.503,0.074
"anwendend",41.430,1,1470,43.503,0.074
"Reparaturdienst",41.360,1,1504,43.503,0.076
"unmodifiziert",41.280,1,1545,43.503,0.078
"enstehend",41.230,1,1573,43.503,0.079
"Vorwand",41.060,4,64611,174.011,3.262
"geldmittel",40.940,1,1724,43.503,0.087
"Ausuferung",40.930,1,1727,43.503,0.087
"verhungernd",40.880,1,1755,43.503,0.089
"zuströmen",40.850,1,1773,43.503,0.090
"Exportkontrolle",40.830,1,1782,43.503,0.090
"Nachbauen",40.790,1,1805,43.503,0.091
"Secur",40.540,1,1934,43.503,0.098
"Gesetzestreue",40.470,1,1976,43.503,0.100
"Geschäftspraxis",40.410,1,2005,43.503,0.101
"Spendenbeitrag",40.390,1,2018,43.503,0.102
"entvölkert",40.350,1,2041,43.503,0.103
"Geldspende",40.340,2,23400,87.006,1.181
"Lebensunterhalt",40.320,6,108929,261.017,5.499
"Gemeinschaftsgeist",40.280,1,2079,43.503,0.105
"Nebenbemerkung",40.100,1,2177,43.503,0.110
"Ausgabedatei",40.080,1,2184,43.503,0.110
"ia",40.070,1,2191,43.503,0.111
"Steuerprogramm",39.980,1,2241,43.503,0.113
"substantiell",39.950,2,23829,87.006,1.203
"Freeware",39.900,3,45475,130.509,2.296
"Gemeinschaft",39.900,38,801340,1653.108,40.455
"McGrath",39.850,1,2315,43.503,0.117
"Händchenhalten",39.820,1,2327,43.503,0.117
"Verbieten",39.750,1,2367,43.503,0.119
"Destruktivität",39.700,1,2399,43.503,0.121
"Urheberrecht",39.620,9,176455,391.526,8.908
"zurückgeführt",39.460,1,2533,43.503,0.128
"benutzerdefiniert",39.440,2,24389,87.006,1.231
"Sources",39.330,1,2603,43.503,0.131
"Patentklage",39.310,1,2618,43.503,0.132
"Documentation",39.240,1,2655,43.503,0.134
"unsozial",39.220,2,24645,87.006,1.244
"Adressraum",39.190,1,2684,43.503,0.135
"BIOS",39.070,2,24808,87.006,1.252
"Abriegelung",38.950,1,2823,43.503,0.143
"emulieren",38.900,1,2852,43.503,0.144
"zweckmäßigerweise",38.850,1,2882,43.503,0.145
"NSF",38.850,1,2884,43.503,0.146
"Entwickler",38.730,20,425657,870.057,21.489
"Doppelarbeit",38.730,1,2953,43.503,0.149
"Programmierarbeit",38.600,1,3027,43.503,0.153
"Linker",38.450,1,3117,43.503,0.157
"Artificial",38.450,1,3119,43.503,0.157
"Programmentwicklung",38.430,1,3129,43.503,0.158
"Verdienen",38.420,1,3135,43.503,0.158
"Distribution",38.380,4,70512,174.011,3.560
"binär",38.380,2,25617,87.006,1.293
"teilend",38.240,1,3242,43.503,0.164
"Programmfunktion",38.240,1,3242,43.503,0.164
"optimierend",38.140,1,3306,43.503,0.167
"Copyright",38.020,5,94042,217.514,4.748
"Programmfehler",38.000,1,3391,43.503,0.171
"freiheitsentziehend",37.800,1,3510,43.503,0.177
"VMS",37.710,1,3568,43.503,0.180
"edu",37.670,1,3592,43.503,0.181
"Hardwarehersteller",37.660,1,3598,43.503,0.182
"portabl",37.460,3,49739,130.509,2.511
"unkommerziell",37.100,1,3951,43.503,0.199
"Prozessorkern",37.070,1,3969,43.503,0.200
"Hinzufügen",36.960,2,27355,87.006,1.381
"KDE",36.890,2,27449,87.006,1.386
"Speichergröße",36.860,1,4110,43.503,0.207
"Megabyte",36.730,2,27649,87.006,1.396
"portabel",36.670,1,4231,43.503,0.214
"Schnüffler",36.660,1,4237,43.503,0.214
"Druckerpresse",36.600,1,4274,43.503,0.216
"ausgegliedert",36.590,1,4281,43.503,0.216
"auferlegen",36.550,4,75038,174.011,3.788
"Verwechselung",36.480,1,4354,43.503,0.220
"Torvalds",36.440,1,4386,43.503,0.221
"restriktiv",36.280,3,51992,130.509,2.625
"Gewinnerzielung",36.280,1,4492,43.503,0.227
"übervorteilen",36.250,1,4511,43.503,0.228
"auftragsbezogen",36.250,1,4511,43.503,0.228
"Verzichtserklärung",36.090,1,4618,43.503,0.233
"Tar",36.060,1,4635,43.503,0.234
"installierbar",36.020,1,4662,43.503,0.235
"Hangouts",35.990,1,4688,43.503,0.237
"Gesamtsystem",35.920,2,28720,87.006,1.450
"Ansporn",35.910,3,52734,130.509,2.662
"einimpfen",35.780,1,4827,43.503,0.244
"Debugger",35.640,1,4929,43.503,0.249
"Softwareversion",35.620,1,4940,43.503,0.249
"Zusammensetzen",35.600,1,4957,43.503,0.250
"Vi",35.400,1,5091,43.503,0.257
"Rückumschlag",35.310,1,5156,43.503,0.260
"Programmieren",35.240,2,29659,87.006,1.497
"verschwörerisch",35.040,1,5349,43.503,0.270
"kantisch",34.610,1,5661,43.503,0.286
"Upstream",34.470,1,5764,43.503,0.291
"Hintertüre",34.430,2,30826,87.006,1.556
"Möglichste",34.410,1,5810,43.503,0.293
"Mitwirkend",34.230,2,31117,87.006,1.571
"quelloffen",34.020,1,6100,43.503,0.308
"Kerngedanke",33.870,1,6218,43.503,0.314
"Binary",33.800,1,6273,43.503,0.317
"Gasmaske",33.690,1,6354,43.503,0.321
"Eingabeaufforderung",33.310,1,6656,43.503,0.336
"Zahlenreihe",33.240,1,6713,43.503,0.339
"Interpreter",33.200,1,6742,43.503,0.340
"untersagt",33.180,1,6763,43.503,0.341
"Mehrdeutigkeit",33.150,1,6781,43.503,0.342
"zukehren",33.120,1,6806,43.503,0.344
"Fernsehkamera",32.920,1,6972,43.503,0.352
"Benutzerschnittstelle",32.880,1,7000,43.503,0.353
"Voreingenommenheit",32.810,1,7063,43.503,0.357
"Softwareanbieter",32.730,1,7125,43.503,0.360
"unveräußerlich",32.730,1,7128,43.503,0.360
"empfangend",32.670,1,7178,43.503,0.362
"Zeichensetzung",32.650,1,7195,43.503,0.363
"Freigabe",32.340,5,114028,217.514,5.757
"selbstzerstörerisch",32.320,1,7466,43.503,0.377
"Wired",32.270,1,7510,43.503,0.379
"Softwareprogramm",32.260,1,7520,43.503,0.380
"Bilden",32.140,1,7617,43.503,0.385
"Familienberatung",32.130,1,7626,43.503,0.385
"gebrauchsfertig",32.060,1,7686,43.503,0.388
"Polizeistaat",32.050,1,7695,43.503,0.388
"entzweien",32.050,1,7696,43.503,0.389
"Objects",31.990,1,7748,43.503,0.391
"Ungerechtigkeit",31.910,4,88814,174.011,4.484
"Version",31.830,61,1632271,2653.674,82.404
"verstehbar",31.620,1,8074,43.503,0.408
"erlaubt",31.330,6,145843,261.017,7.363
"Verbreiten",31.320,1,8338,43.503,0.421
"Mitbringen",31.180,1,8464,43.503,0.427
"gleichtun",31.120,1,8517,43.503,0.430
"paradigmatisch",31.090,1,8548,43.503,0.432
"Perl",30.990,2,36437,87.006,1.839
"ermutigen",30.890,6,148187,261.017,7.481
"Verpackungs",30.810,1,8807,43.503,0.445
"Weiterverbreitung",30.720,1,8887,43.503,0.449
"Spanische",30.500,1,9092,43.503,0.459
"Urheberschaft",30.350,1,9235,43.503,0.466
"frankiert",30.220,1,9358,43.503,0.472
"ausführen",30.190,27,751551,1174.577,37.941
"Programmierung",30.150,6,152340,261.017,7.691
"Systemkomponente",30.020,1,9554,43.503,0.482
"inkompatibel",29.870,1,9701,43.503,0.490
"Bourne",29.810,1,9762,43.503,0.493
"Benutzerin",29.620,1,9953,43.503,0.502
"legitim",29.520,5,126832,217.514,6.403
"Nebensächlichkeit",29.500,1,10074,43.503,0.509
"weiterverbreiten",29.450,1,10124,43.503,0.511
"voraussehbar",29.200,1,10386,43.503,0.524
"zahlend",29.000,3,70008,130.509,3.534
"ausspähen",28.990,1,10596,43.503,0.535
"Originalausgabe",28.810,1,10794,43.503,0.545
"gehemmt",28.710,1,10899,43.503,0.550
"Carnegie",28.610,1,11007,43.503,0.556
"komprimiert",28.580,2,41184,87.006,2.079
"Verändern",28.570,1,11043,43.503,0.557
"beruhend",28.470,2,41414,87.006,2.091
"abwerben",28.400,1,11236,43.503,0.567
"Zusammenführung",28.360,2,41658,87.006,2.103
"Deckname",28.290,1,11356,43.503,0.573
"Softwaresystem",28.140,1,11522,43.503,0.582
"Algebra",28.070,1,11599,43.503,0.586
"Verleger",27.630,4,105657,174.011,5.334
"Falsche",27.460,2,43670,87.006,2.205
"Gastfreundlichkeit",27.430,1,12325,43.503,0.622
"schneidend",27.430,1,12333,43.503,0.623
"reihum",27.390,1,12374,43.503,0.625
"geändert",27.360,5,138398,217.514,6.987
"Bibliothek",27.210,17,519249,739.548,26.214
"Belohnung",27.190,6,171063,261.017,8.636
"kontrollierend",27.120,1,12696,43.503,0.641
"Again",26.980,1,12869,43.503,0.650
