"corpus","user/lx262/gnu_en_de_terms_v04__english"
"subcorpus",""
"Item","Score","Freq","Ref_freq","Rel_freq","Rel_ref_freq"
"free software",2110.310,171,569,7161.404,2.394
"proprietary software",889.400,33,132,1382.025,0.555
"nonfree software",377.920,9,0,376.916,0.000
"free license",286.720,8,41,335.036,0.173
"free manual",249.290,6,3,251.277,0.013
"free software community",243.280,6,9,251.277,0.038
"free software movement",241.180,6,11,251.277,0.046
"software movement",238.450,6,14,251.277,0.059
"software community",231.020,6,22,251.277,0.093
"software license",207.810,6,51,251.277,0.215
"free operating system",201.140,5,11,209.398,0.046
"source code",187.100,32,1466,1340.146,6.169
"free program",181.360,6,93,251.277,0.391
"modified version",169.090,6,117,251.277,0.492
"nonfree program",168.520,4,0,167.518,0.000
"free software license",166.520,4,3,167.518,0.013
"free software development",165.860,4,4,167.518,0.017
"modified program",165.860,4,4,167.518,0.017
"proprietary program",165.860,4,4,167.518,0.017
"nondisclosure agreement",157.350,4,17,167.518,0.072
"natural right",145.400,4,38,167.518,0.160
"software business",135.030,4,59,167.518,0.248
"system software",131.960,4,66,167.518,0.278
"software-sharing community",126.640,3,0,125.639,0.000
"definition of free software",126.640,3,0,125.639,0.000
"distributing free software",126.640,3,0,125.639,0.000
"server operator",126.130,3,1,125.639,0.004
"recursive acronym",125.630,3,2,125.639,0.008
"free documentation",125.630,3,2,125.639,0.008
"unjust power",125.630,3,2,125.639,0.008
"distribution fee",125.140,3,3,125.639,0.013
"use of free software",125.140,3,3,125.639,0.013
"unix-like system",124.030,3,5,125.639,0.021
"monetary incentive",118.690,3,16,125.639,0.067
"selling software",112.470,3,30,125.639,0.126
"software world",112.070,3,31,125.639,0.130
"software package",106.690,5,231,209.398,0.972
"new license",105.440,3,48,125.639,0.202
"task list",95.360,3,78,125.639,0.328
"operating system",85.560,24,2557,1005.109,10.760
"free software business",84.760,2,0,83.759,0.000
"stark moral choice",84.760,2,0,83.759,0.000
"multiplatform compiler",84.760,2,0,83.759,0.000
"free software definition",84.760,2,0,83.759,0.000
"software definition",84.760,2,0,83.759,0.000
"usable documentation",84.760,2,0,83.759,0.000
"entire input file",84.760,2,0,83.759,0.000
"text formatter",84.760,2,0,83.759,0.000
"instrument of unjust power",84.760,2,0,83.759,0.000
"nonfree library",84.760,2,0,83.759,0.000
"nonfree license",84.760,2,0,83.759,0.000
"proprietary manual",84.760,2,0,83.759,0.000
"important free software package",84.760,2,0,83.759,0.000
"developer power",84.760,2,0,83.759,0.000
"distribution price",84.760,2,0,83.759,0.000
"conscientious programmer",84.760,2,0,83.759,0.000
"new free software",84.760,2,0,83.759,0.000
"proprietary software social system",84.760,2,0,83.759,0.000
"software social system",84.760,2,0,83.759,0.000
"hard g",84.420,2,1,83.759,0.004
"entire input",84.420,2,1,83.759,0.004
"developing free software",84.420,2,1,83.759,0.004
"libre software",84.420,2,1,83.759,0.004
"proprietary package",84.090,2,2,83.759,0.008
"free software package",83.750,2,3,83.759,0.013
"compatible replacement",83.750,2,3,83.759,0.013
"important free software",83.750,2,3,83.759,0.013
"free software world",83.750,2,3,83.759,0.013
"own computing",83.420,2,4,83.759,0.017
"other free software",83.420,2,4,83.759,0.017
"syntax tree",82.690,2,6,83.759,0.025
"new compiler",82.370,2,7,83.759,0.029
"executable form",82.370,2,7,83.759,0.029
"source code form",82.370,2,7,83.759,0.029
"system programming",82.370,2,7,83.759,0.029
"social contribution",82.050,2,8,83.759,0.034
"missing component",81.340,2,10,83.759,0.042
"free replacement",81.340,2,10,83.759,0.042
"window system",80.110,2,14,83.759,0.059
"code form",79.740,2,15,83.759,0.063
"ftp server",79.740,2,15,83.759,0.063
"moral choice",79.440,2,16,83.759,0.067
"fist fight",79.440,2,16,83.759,0.067
"common basis",77.900,2,21,83.759,0.088
"major gap",77.050,2,24,83.759,0.101
"distribution business",76.700,2,25,83.759,0.105
"useful software",76.700,2,25,83.759,0.105
"same reasoning",76.150,2,27,83.759,0.114
