"corpus","user/lx262/gnu_en_de_terms_v04__german"
"subcorpus",""
"Item","Score","Freq","Ref_freq","Rel_freq","Rel_ref_freq"
"freie Software",1851.520,126,454,5481.359,1.961
"proprietäre Software",904.880,25,47,1087.571,0.203
"modifizierte Version",611.190,19,82,826.554,0.354
"unfreie Software",602.800,14,3,609.040,0.013
"freies Handbuch",479.530,11,0,478.531,0.000
"freies Betriebssystem",410.560,11,39,478.531,0.168
"freies Programm",395.310,10,24,435.028,0.104
"unfreies Programm",390.960,9,1,391.526,0.004
"freie Softwarelizenz",346.250,8,2,348.023,0.009
"proprietäres Programm",344.880,8,3,348.023,0.013
"wesentliche Freiheit",304.300,7,1,304.520,0.004
"freie Lizenz",302.410,9,69,391.526,0.298
"proprietäres Handbuch",262.020,6,0,261.017,0.000
"hoher Vertriebspreis",175.010,4,0,174.011,0.000
"Gnu Gpl",172.090,4,4,174.011,0.017
"ausführbare Form",170.740,4,6,174.011,0.026
"freie Dokumentation",159.830,4,22,174.011,0.095
"geänderte Version",157.950,4,25,174.011,0.108
"natürliches Recht",155.010,4,30,174.011,0.130
"rekursives Akronym",131.510,3,0,130.509,0.000
"finanzieller Ansporn",131.510,3,0,130.509,0.000
"unfreie Bibliothek",131.510,3,0,130.509,0.000
"gutes freies Handbuch",131.510,3,0,130.509,0.000
"gewissenhafter Programmierer",131.510,3,0,130.509,0.000
"eigene modifizierte Version",131.510,3,0,130.509,0.000
"vermeidendes Wort",131.510,3,0,130.509,0.000
"ungerechte Macht",130.980,3,1,130.509,0.004
"modifiziertes Programm",129.950,3,3,130.509,0.013
"unixoides System",129.950,3,3,130.509,0.013
"bestimmte Freiheit",128.800,3,5,130.509,0.022
"Frage der Freiheit",128.300,3,6,130.509,0.026
"potenzielles Problem",125.610,3,11,130.509,0.048
"anderer Programmierer",124.530,3,13,130.509,0.056
"neue Lizenz",115.560,3,32,130.509,0.138
"Ai Labs",88.000,2,0,87.006,0.000
"Beginn des Gnu-projekts",88.000,2,0,87.006,0.000
"proprietäre Bibliothek",88.000,2,0,87.006,0.000
"Gnu C-bibliothek",88.000,2,0,87.006,0.000
"plattformübergreifender Compiler",88.000,2,0,87.006,0.000
"Datenverarbeitung der Menschen",88.000,2,0,87.006,0.000
"gesamte Eingabedatei",88.000,2,0,87.006,0.000
"früher Entwickler",88.000,2,0,87.006,0.000
"Name Gnu",88.000,2,0,87.006,0.000
"Software-teilende Gemeinschaft",88.000,2,0,87.006,0.000
"Gnu Hurd",88.000,2,0,87.006,0.000
"ganzer technischer Inhalt",88.000,2,0,87.006,0.000
"Kopie eines Programms",88.000,2,0,87.006,0.000
"beruhende Lizenz",88.000,2,0,87.006,0.000
"vertragsbasierte Lizenz",88.000,2,0,87.006,0.000
"Nutzung Unfreier Software",88.000,2,0,87.006,0.000
"proprietäres Paket",88.000,2,0,87.006,0.000
"beträchtlicher Preis",88.000,2,0,87.006,0.000
"proprietäres Software-sozialsystem",88.000,2,0,87.006,0.000
"Libre Software",88.000,2,0,87.006,0.000
"wichtiges freies Softwarepaket",88.000,2,0,87.006,0.000
"proprietäres Softwareprodukt",88.000,2,0,87.006,0.000
"proprietäres Softwareunternehmen",88.000,2,0,87.006,0.000
"nichttechnisches Thema",88.000,2,0,87.006,0.000
"eigene geänderte Version",88.000,2,0,87.006,0.000
"proprietäre Version",88.000,2,0,87.006,0.000
"proprietäre modifizierte Version",88.000,2,0,87.006,0.000
"freier Ersatz",87.650,2,1,87.006,0.004
"Frage des Prinzips",87.650,2,1,87.006,0.004
"Freiheit der Nutzer",87.650,2,1,87.006,0.004
"Inhalt des Handbuchs",87.650,2,1,87.006,0.004
"Kopie Freier Software",87.650,2,1,87.006,0.004
"freizügige Lizenz",87.650,2,1,87.006,0.004
"unfreie Lizenz",87.650,2,1,87.006,0.004
"neuer Compiler",87.310,2,2,87.006,0.009
"eigene Datenverarbeitung",87.310,2,2,87.006,0.009
"Quellcode des Programms",87.310,2,2,87.006,0.009
"freies Softwarepaket",87.310,2,2,87.006,0.009
"kommerzielle Entwicklung",86.960,2,3,87.006,0.013
"bestimmte Lizenz",86.530,2,4,87.006,0.017
"pädagogisches Werk",86.530,2,4,87.006,0.017
"vorhandener Modul",86.190,2,5,87.006,0.022
"freier Treiber",86.190,2,5,87.006,0.022
"moralische Entscheidung",85.110,2,8,87.006,0.035
"egoistischer Grund",85.110,2,8,87.006,0.035
"fehlende Komponente",84.780,2,9,87.006,0.039
"genutztes Programm",84.780,2,9,87.006,0.039
"Richard Stallman",84.050,2,11,87.006,0.048
"Teil der Aufgabe",84.050,2,11,87.006,0.048
"Free Software",83.730,2,12,87.006,0.052
"sozialer Beitrag",83.340,2,13,87.006,0.056
"gemachte Änderung",83.340,2,13,87.006,0.056
"nützliche Software",82.320,2,16,87.006,0.069
"technischer Vorteil",81.040,2,20,87.006,0.086
"Zukunft der Gesellschaft",81.040,2,20,87.006,0.086
"exakte Kopie",79.790,2,24,87.006,0.104
"technischer Inhalt",78.580,2,28,87.006,0.121
"Anzahl der Nutzer",72.370,2,50,87.006,0.216
"andere Bibliothek",68.270,2,67,87.006,0.289
"großer Mangel",68.270,2,67,87.006,0.289
"eigener Zweck",67.580,3,219,130.509,0.946
"gedrucktes Exemplar",67.390,2,71,87.006,0.307
"bestimmter Grund",59.660,2,110,87.006,0.475
"geistiges Eigentum",57.790,6,818,261.017,3.534
"einziger Weg",56.950,3,303,130.509,1.309
"neue Hardware",56.520,2,129,87.006,0.557
"neuer Benutzer",55.910,2,133,87.006,0.575
"große Sammlung",50.750,2,170,87.006,0.734
"goldene Regel",45.040,2,221,87.006,0.955
"mögliche 8-bit-codes",44.500,1,0,43.503,0.000
"Bourne Again",44.500,1,0,43.503,0.000
"Akt der Freundschaft",44.500,1,0,43.503,0.000
"unproduktive Aktivität",44.500,1,0,43.503,0.000
"Jahr Algorithmus",44.500,1,0,43.503,0.000
"geeignete Alias-funktion",44.500,1,0,43.503,0.000
"Androhung einer Patentklage",44.500,1,0,43.503,0.000
"Anfang eines Schemas",44.500,1,0,43.503,0.000
"unabdingbare Anforderung",44.500,1,0,43.503,0.000
"unbeantwortetes Anliegen",44.500,1,0,43.503,0.000
"nachträgliche Anmerkung",44.500,1,0,43.503,0.000
"Annahme des Fragestellers",44.500,1,0,43.503,0.000
"dritte Annahme",44.500,1,0,43.503,0.000
"gehaltene Annahme",44.500,1,0,43.503,0.000
"weite unausgesprochene Annahme",44.500,1,0,43.503,0.000
"unmoralischer Ansatz",44.500,1,0,43.503,0.000
"Anschauung der Freie-software-bewegung",44.500,1,0,43.503,0.000
"reduzierter finanzieller Ansporn",44.500,1,0,43.503,0.000
"unerschütterliche Anstrengung",44.500,1,0,43.503,0.000
"benutzerorientierte Anwendung",44.500,1,0,43.503,0.000
"terminalunabhängige Anzeigeunterstützung",44.500,1,0,43.503,0.000
"verteilte Arbeit",44.500,1,0,43.503,0.000
"Art Angeblicher Rechte",44.500,1,0,43.503,0.000
"Art der Modifizierung",44.500,1,0,43.503,0.000
"Art des Copyleft",44.500,1,0,43.503,0.000
"Aufgabe des Unix-betriebssystemkerns",44.500,1,0,43.503,0.000
"durchführbare Aufgabe",44.500,1,0,43.503,0.000
"allgemeine Aufgabenliste",44.500,1,0,43.503,0.000
"Aufhebung der Alten Lizenz",44.500,1,0,43.503,0.000
"wahrhafte Aufrichtigkeit",44.500,1,0,43.503,0.000
"Aufwand eines Lizenzvertrages",44.500,1,0,43.503,0.000
"triviale Ausfuhrbestimmung",44.500,1,0,43.503,0.000
"staatliche Ausfuhrkontrollbestimmung",44.500,1,0,43.503,0.000
"ganze Ausgabedatei",44.500,1,0,43.503,0.000
"Ausnahme einer Bestimmten Situation",44.500,1,0,43.503,0.000
"Ausstattung der Arbeitsumgebung",44.500,1,0,43.503,0.000
"Ausuferung Verschiedener Freier Softwarelizenzen",44.500,1,0,43.503,0.000
"überschaubare Ausuferung",44.500,1,0,43.503,0.000
"Autor der Guten Handbücher",44.500,1,0,43.503,0.000
"freies Bios",44.500,1,0,43.503,0.000
"Bandbreite Möglicher Beschränkungen",44.500,1,0,43.503,0.000
"übliche Basis",44.500,1,0,43.503,0.000
"falsche Bedeutung",44.500,1,0,43.503,0.000
"Bedingung der Lizenz",44.500,1,0,43.503,0.000
"genutzter Befehlszeileninterpreter",44.500,1,0,43.503,0.000
"Befürworter der Freien Marktwirtschaft",44.500,1,0,43.503,0.000
"Begrenzung des Preises",44.500,1,0,43.503,0.000
"Beispiel eines Saass-übersetzungsdienstes",44.500,1,0,43.503,0.000
"nicht-finanzielle Belohnung",44.500,1,0,43.503,0.000
"Benutzen Unfreier Software",44.500,1,0,43.503,0.000
"Produkt Benutzer",44.500,1,0,43.503,0.000
"besonderer Benutzer",44.500,1,0,43.503,0.000
"grafische Benutzeroberflächen-umgebung",44.500,1,0,43.503,0.000
"unfreie grafische Benutzerschnittstelle",44.500,1,0,43.503,0.000
"Benutzung eines Rechners",44.500,1,0,43.503,0.000
"Berechnung der Luft",44.500,1,0,43.503,0.000
"Berechtigung Beschränkung",44.500,1,0,43.503,0.000
"Beschränkung eines Programms",44.500,1,0,43.503,0.000
"Betriebssystem eines Rechners",44.500,1,0,43.503,0.000
"installierbares freies Betriebssystem",44.500,1,0,43.503,0.000
"anderer Betriebssystemkern",44.500,1,0,43.503,0.000
"Bewusstsein der Philosophie",44.500,1,0,43.503,0.000
"bestimmte proprietäre Bibliothek",44.500,1,0,43.503,0.000
"fehlende Bibliothek",44.500,1,0,43.503,0.000
"jedwede Bibliothek",44.500,1,0,43.503,0.000
"nahe verlockende unfreie Bibliothek",44.500,1,0,43.503,0.000
"verlockende unfreie Bibliothek",44.500,1,0,43.503,0.000
"Buch Hackers",44.500,1,0,43.503,0.000
"Michael Bushnell",44.500,1,0,43.503,0.000
"Thomas Bushnell",44.500,1,0,43.503,0.000
"einzige C-bibliothek",44.500,1,0,43.503,0.000
"optimierender C-compiler",44.500,1,0,43.503,0.000
"Ceteris Paribus",44.500,1,0,43.503,0.000
"verschleierter Code",44.500,1,0,43.503,0.000
"portables Common",44.500,1,0,43.503,0.000
"GNUer Compiler",44.500,1,0,43.503,0.000
"Pastler Compiler",44.500,1,0,43.503,0.000
"ganzer Compiler",44.500,1,0,43.503,0.000
"effektives Copyleft",44.500,1,0,43.503,0.000
"einfaches Copyleft",44.500,1,0,43.503,0.000
"Copyright-hinweis des Originalautors",44.500,1,0,43.503,0.000
"Copyright-hinweis des Ursprünglichen Autors",44.500,1,0,43.503,0.000
"Copyrightinhaber des Hinzuzufügenden Quellcodes",44.500,1,0,43.503,0.000
"absturzsicheres Dateisystem",44.500,1,0,43.503,0.000
"eigene Datenverarbeitungbedürfnisse",44.500,1,0,43.503,0.000
"eigene Datenverarbeitungsaufgabe",44.500,1,0,43.503,0.000
"Daumen des Unternehmens",44.500,1,0,43.503,0.000
"praktische Definition",44.500,1,0,43.503,0.000
"gegenseitige Destruktivität",44.500,1,0,43.503,0.000
"Digital Pdp-10",44.500,1,0,43.503,0.000
"freie Distribution",44.500,1,0,43.503,0.000
"Dokumentation Freier Software",44.500,1,0,43.503,0.000
"Durchsetzung der Gpl",44.500,1,0,43.503,0.000
"Eigentümer Proprietärer Software",44.500,1,0,43.503,0.000
"Einführung einer Lizenzänderung",44.500,1,0,43.503,0.000
"Einhaltung einer Lizenz",44.500,1,0,43.503,0.000
"Einhaltung einer Unfreien Lizenz",44.500,1,0,43.503,0.000
"Einnahme der Fsf",44.500,1,0,43.503,0.000
"Einrichtung des Labors",44.500,1,0,43.503,0.000
"entkräftender Einwand",44.500,1,0,43.503,0.000
"weiter häufiger Einwand",44.500,1,0,43.503,0.000
"Ende einer Vertraulichkeitsvereinbarung",44.500,1,0,43.503,0.000
