"corpus","user/lx262/gnu_en__de_v03_tmx__de_2"
"subcorpus","-"
"Source","Target","Score","Co-hits","Source hits","Target hits"
"Softwarepaket","software package",14.000,5,5,5
"Entschlossenheit","determination",14.000,4,4,4
"rekursives Akronym","recursive acronym",14.000,3,3,3
"lange Sicht","long run",14.000,3,3,3
"finanzieller Ansporn","monetary incentive",14.000,3,3,3
"einziger Weg","only way",14.000,3,3,3
"Versprechen","promise",14.000,3,3,3
"Sicht","long run",14.000,3,3,3
"Serverbetreiber","server operator",14.000,3,3,3
"Papier","paper",14.000,3,3,3
"Nächste","neighbor",14.000,3,3,3
"Freundschaft","friendship",14.000,3,3,3
"Freeware","freeware",14.000,3,3,3
"Druck","pressure",14.000,3,3,3
"Ansporn","monetary incentive",14.000,3,3,3
"Akronym","recursive acronym",14.000,3,3,3
"wichtiges freies Softwarepaket","major gap",14.000,2,2,2
"technischer Inhalt","technical content",14.000,2,2,2
"sozialer Beitrag","social contribution",14.000,2,2,2
"pädagogisches Werk","reference",14.000,2,2,2
"proprietäres Software-sozialsystem","software social system",14.000,2,2,2
"proprietäres Paket","proprietary package",14.000,2,2,2
"plattformübergreifender Compiler","multiplatform compiler",14.000,2,2,2
"nützliche Software","useful software",14.000,2,2,2
"nichttechnisches Thema","deal",14.000,2,2,2
"neuer Compiler","new compiler",14.000,2,2,2
"neue Hardware","new hardware",14.000,2,2,2
"moralische Entscheidung","stark moral choice",14.000,2,2,2
"großer Mangel","deficiency",14.000,2,2,2
"gesamte Eingabedatei","input file",14.000,2,2,2
"ganzer technischer Inhalt","technical content",14.000,2,2,2
"freies Softwarepaket","major gap",14.000,2,2,2
"freier Ersatz","free replacement",14.000,2,2,2
"fehlende Komponente","missing component",14.000,2,2,2
"bestimmter Grund","particular reason",14.000,2,2,2
"Zuverlässigkeit","reliability",14.000,2,2,2
"Zerstörung","destruction",14.000,2,2,2
"Wissen","knowledge",14.000,2,2,2
"Wartung","maintenance",14.000,2,2,2
"Unterschied","difference",14.000,2,2,2
"Tivoisierung","tivoization",14.000,2,2,2
"Textsatzsystem","text formatter",14.000,2,2,2
"Tex","text formatter",14.000,2,2,2
"Tag","day",14.000,2,2,2
"Syntaxbaum","tree",14.000,2,2,2
"Straße","street",14.000,2,2,2
"Software-sozialsystem","software social system",14.000,2,2,2
"Reverse","reverse engineering",14.000,2,2,2
"Redefreiheit","speech",14.000,2,2,2
"Produktivität","productivity",14.000,2,2,2
"Popularität","popularity",14.000,2,2,2
"Name Gnu","syllable",14.000,2,2,2
"Nachschlagewerk","reference",14.000,2,2,2
"Medium","technical content",14.000,2,2,2
"Libre Software","libre software",14.000,2,2,2
"Kommunikation","communication",14.000,2,2,2
"Inhalt des Handbuchs","technical content",14.000,2,2,2
"Historie","history",14.000,2,2,2
"Hintertüre","door",14.000,2,2,2
"Grimasse","street",14.000,2,2,2
"Freie-software-geschäft","free software business",14.000,2,2,2
"Freibier","speech",14.000,2,2,2
"Fenstersystem","window system",14.000,2,2,2
"Engineering","reverse engineering",14.000,2,2,2
"Eingabedatei","input file",14.000,2,2,2
"Copyright-hinweis","copyright notice",14.000,2,2,2
"C-frontend","front end",14.000,2,2,2
"üblicher Zweck","usual purpose",14.000,1,1,1
"üblicher Preis","standard price",14.000,1,1,1
"übertriebene Restriktion","specific software license",14.000,1,1,1
"ähnliches Problem","related issue",14.000,1,1,1
"ähnlicher Geist","similar spirit",14.000,1,1,1
"ähnliche Ausstattung","using free software",14.000,1,1,1
"Übersetzungsteam","webmasters@gnu.org",14.000,1,1,1
"Übersetzung des Begriffs","worth avoiding",14.000,1,1,1
"Übersenden","sase",14.000,1,1,1
"Übeltäter","thumb",14.000,1,1,1
"Äquivalent","secret software",14.000,1,1,1
"Änderung des Namens","special issue",14.000,1,1,1
"zusätzliches Geld","little extra time",14.000,1,1,1
"zusätzlicher Aufwand","extra effort",14.000,1,1,1
"zusätzliche Funktion","working system",14.000,1,1,1
"zusätzliche Berechtigung","parallel",14.000,1,1,1
"zusammenhängender Dienst","whole collection",14.000,1,1,1
"zusammenarbeitende Gemeinschaft","cooperating community",14.000,1,1,1
"zulässiges Ziel","valid goal",14.000,1,1,1
"willkürliche feste Größenbegrenzung","good practice",14.000,1,1,1
"wichtiges Ziel","main purpose",14.000,1,1,1
"wichtiger Weg","contradiction",14.000,1,1,1
"wichtige Ftp-vertriebsseite","site",14.000,1,1,1
"wesentlicher Bestandteil","good free manual",14.000,1,1,1
"weltweite Mission","ultimate goal",14.000,1,1,1
"weitverbreitete Geschäftspraxis","usual shell",14.000,1,1,1
"weites Schreiben","ed",14.000,1,1,1
"weites Indiz","indication",14.000,1,1,1
"weites Ding","spreadsheet",14.000,1,1,1
"weiter häufiger Einwand","popularity of free software",14.000,1,1,1
"weiter Schaden","thumb",14.000,1,1,1
"weite unausgesprochene Annahme","unstated assumption",14.000,1,1,1
"weite freie Software","tape distribution business",14.000,1,1,1
"weite Ressource","other licensing",14.000,1,1,1
"weite Freie-software-entwicklung","major advantage",14.000,1,1,1
"weite Anfrage","subsequent request",14.000,1,1,1
"wahrer Grund","real reason",14.000,1,1,1
"vorheriges Ungleichgewicht","previous imbalance",14.000,1,1,1
"vorhandener Teil","reach",14.000,1,1,1
"vorhandener Schiedsrichter","shot",14.000,1,1,1
"vorhandene freie Softwarelizenz","proliferation of different free software",14.000,1,1,1
"vorhandene Gastfreundlichkeit","institution",14.000,1,1,1
"vollständiges Betriebssystem","complete operating system",14.000,1,1,1
"vollständiger Quellcode","corresponding complete source code",14.000,1,1,1
"vollständiger Ersatz","complete replacement",14.000,1,1,1
"vollständige Übersicht","cvsweb interface",14.000,1,1,1
"vollständige Kontrolle","full control",14.000,1,1,1
"virtueller Speicher","virtual memory",14.000,1,1,1
"versiegelter Kasten","sealed box",14.000,1,1,1
"versehenes Programm","specific implementation",14.000,1,1,1
"verschiedenes unfreies Vertriebsschema","various nonfree distribution",14.000,1,1,1
"verschiedenes Ding","same category",14.000,1,1,1
"verschiedener Ort","same program",14.000,1,1,1
"verschiedene Übersetzung","worth avoiding",14.000,1,1,1
"verschiedene bösartige Funktion","tip",14.000,1,1,1
"verschiedene andere nützliche Software","various other useful software",14.000,1,1,1
"verschiedene Weise","nonprofit organization",14.000,1,1,1
"verschiedene Rechnerfirma","various computer",14.000,1,1,1
"verschiedene Lizenz","new issue",14.000,1,1,1
"verschiedene Herausforderung","steadfast effort",14.000,1,1,1
"verschiedene Aufgabe","microkernel",14.000,1,1,1
"verschiedene Antwort","paradoxical situation",14.000,1,1,1
"verlockende unfreie Bibliothek","tempting nonfree library",14.000,1,1,1
"verkaufte freie Software","contradiction",14.000,1,1,1
"verführerische Illusion","bias",14.000,1,1,1
"verfügbare proprietäre Software","major advantage",14.000,1,1,1
