	18800
program	117
freedom	112
free software	104
free	73
users	68
GNU	66
software	52
people	38
way	34
system	31
programs	30
copies	29
community	28
Unix	27
source code	26
Version	26
programmers	24
copy	23
price	22
work	21
proprietary software	21
changes	21
money	21
problem	21
freedoms	20
others	20
someone	19
license	18
manual	18
everyone	17
use	17
modified versions	16
user	16
example	16
Linux	16
time	15
able	15
term	15
systems	14
issue	14
GNU Project	14
GNU system	13
list	13
nonfree	13
available	13
job	13
matter	12
acceptable	12
copyleft	12
such	12
kernel	12
name	11
computing	11
part	11
FSF	11
kind	11
anyone	11
permission	11
restrictions	11
ways	11
possible	11
control	11
service	11
business	11
support	11
Free software	10
right	10
manuals	10
word	10
SaaSS	10
fee	9
computer	9
society	9
more	9
years	9
GNU GPL	9
goal	8
Free Software Foundation	8
article	8
Free Software	8
developer	8
purpose	8
code	8
free license	8
order	8
useful	8
Freedom	8
modifications	8
kinds	8
something	8
computers	8
hard	8
nonfree software	8
companies	8
funds	8
GNU software	8
development	8
living	8
library	8
principle	8
Qt	8
clear	7
copyright	7
important	7
person	7
version	7
distribution	7
other people	7
other	7
power	7
state	7
programming	7
company	7
wrong	7
good	7
same	7
programmer	7
crucial	7
machines	7
C library	7
games	6
question	6
definition	6
terms	6
free program	6
limits	6
nothing	6
choice	6
works	6
open source	6
free software movement	6
developers	6
1	6
books	6
server	6
future	6
class	6
MIT	6
GNU Emacs	6
amount	6
distribution terms	6
number	6
patents	6
creativity	6
Richard Stallman	5
free software community	5
whole	5
other ways	5
page	5
criteria	5
different	5
point	5
proprietary	5
instance	5
charge	5
practice	5
necessary	5
rule	5
modified version	5
requirements	5
licenses	5
law	5
things	5
Today	5
friend	5
ideas	5
most	5
idea	5
friends	5
fact	5
project	5
compiler	5
need	5
Unix system	5
many	5
X	5
GNU C library	5
true	5
Mach	5
free manual	5
modification	5
many people	5
reward	5
People	5
computer users	4
success	4
many ways	4
users' freedom	4
nonfree program	4
essential freedoms	4
chance	4
B	4
line	4
place	4
binaries	4
versions	4
requirement	4
activities	4
case	4
nonfree programs	4
conclusion	4
sense	4
group	4
means	4
author	4
text	4
proprietary program	4
obligation	4
first	4
hardware	4
share	4
many years	4
AI Lab	4
hackers	4
situation	4
jobs	4
difficult	4
X Window System	4
easy	4
GNU manuals	4
documentation	4
shell	4
software development	4
GNOME	4
features	4
Alix	4
trap	4
patent	4
articles	4
conscientious	4
modified program	4
authors	4
result	4
profit	4
city	4
donations	4
advertising	4
competition	4
nobody	4
runners	4
recursive acronym	3
rms	3
users freedom	3
GNU packages	3
utilities	3
tools	3
other things	3
GPL	3
rights	3
Open Source	3
rest	3
purposes	3
original	3
change	3
particular	3
other words	3
OK	3
central freedoms	3
better	3
Rules	3
other programs	3
sort	3
condition	3
compliance	3
legitimate	3
best	3
Confusing Words	3
Phrases	3
free software license	3
spirit	3
new license	3
needs	3
help	3
other kinds	3
policy	3
improvements	3
unacceptable	3
own	3
reason	3
life	3
form	3
numbers	3
2	3
proprietary programs	3
Windows	3
internet	3
injustice	3
millions	3
server operator	3
promise	3
Microsoft	3
government	3
students	3
advantages	3
lives	3
ITS	3
parts	3
confusion	3
combination	3
powerful	3
nondisclosure agreement	3
neighbor	3
public	3
nondisclosure agreements	3
world	3
lack	3
CD-ROMs	3
collection	3
projects	3
C	3
Pastel compiler	3
GCC	3
Unix systems	3
interest	3
course	3
tape	3
Emacs	3
program free	3
Copyleft	3
popular	3
essential	3
advantage	3
anything	3
Linux systems	3
BASH	3
complete	3
values	3
addition	3
effort	3
O	3
components	3
GNU Task List	3
exception	3
free software developers	3
Unix-like system	3
Harmony	3
problems	3
component	3
GNU Hurd	3
design	3
messages	3
determination	3
philosophy	3
Free documentation	3
criterion	3
paper	3
sorts	3
views	3
will	3
new users	3
efforts	3
less	3
system software	3
friendship	3
individuals	3
air	3
Users	3
sources	3
much	3
cost	3
intellectual property	3
monetary incentive	3
lot	3
freeware	3
long run	3
little	3
high price	3
dollars	3
syllable	2
hard g	2
software users	2
tribute	2
common	2
GNU programs	2
thing	2
links	2
Free Software Definition	2
free software definition	2
difference	2
liberty	2
free speech	2
free beer	2
libre software	2
gratis	2
instrument	2
unjust power	2
Access	2
precondition	2
whole community	2
unethical	2
cases	2
plan	2
conditions	2
organization	2
useless	2
loss	2
changed versions	2
access	2
product	2
tivoization	2
important way	2
modules	2
restrictive	2
improvement	2
3	2
play	2
binary	2
executable form	2
languages	2
feature	2
GNU project	2
other changes	2
trouble	2
public use	2
governments	2
free software licenses	2
trivial	2
potential problem	2
nothing wrong	2
cause	2
contracts	2
piracy	2
opinions	2
interested	2
identical	2
open	2
nonfree license	2
points	2
wording	2
contract-based licenses	2
source	2
gaps	2
version numbers	2
